		Total Processors: 3

----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   207   | Type B,  7 | Type D,  3 | Type D,  1 | Q Total:    21 | No queue items | 
  Time:   208   | Type B,  6 | Type D,  2 | Type A,  1 | Q Total:    20 | No queue items | 
  Time:   209   | Type D,  9 | Type D,  1 | Type B,  5 | Q Total:    22 | No queue items | 
  Time:   210   | Type D,  8 | Type C,  7 | Type B,  4 | Q Total:    21 | No queue items | 
  Time:   211   | Type D,  7 | Type C,  6 | Type B,  3 | Q Total:    21 | No queue items | 
  Time:   212   | Type D,  6 | Type C,  5 | Type B,  2 | Q Total:    21 | No queue items | 
  Time:   213   | Type D,  5 | Type C,  4 | Type B,  1 | Q Total:    22 | No queue items | 
  Time:   214   | Type D,  4 | Type C,  3 | Type B,  3 | Q Total:    21 | No queue items | 
  Time:   215   | Type D,  3 | Type C,  2 | Type B,  2 | Q Total:    21 | No queue items | 
  Time:   216   | Type D,  2 | Type C,  1 | Type B,  1 | Q Total:    22 | No queue items | 
  Time:   217   | Type D,  1 | Type A,  3 | Type B,  2 | Q Total:    22 | No queue items | 
  Time:   218   | Type A,  2 | Type A,  2 | Type B,  1 | Q Total:    21 | No queue items | 
  Time:   219   | Type A,  1 | Type A,  1 | Type A,  3 | Q Total:    20 | No queue items | 
  Time:   220   | Type D, 17 | Type B,  3 | Type A,  2 | Q Total:    19 | No queue items | 
  Time:   221   | Type D, 16 | Type B,  2 | Type A,  1 | Q Total:    19 | No queue items | 
  Time:   222   | Type D, 15 | Type B,  1 | Type C,  8 | Q Total:    19 | No queue items | 
  Time:   223   | Type D, 14 | Type A,  4 | Type C,  7 | Q Total:    19 | No queue items | 
  Time:   224   | Type D, 13 | Type A,  3 | Type C,  6 | Q Total:    19 | No queue items | 
  Time:   225   | Type D, 12 | Type A,  2 | Type C,  5 | Q Total:    19 | No queue items | 
  Time:   226   | Type D, 11 | Type A,  1 | Type C,  4 | Q Total:    20 | No queue items | 
  Time:   227   | Type D, 10 | Type B,  8 | Type C,  3 | Q Total:    19 | No queue items | 
  Time:   228   | Type D,  9 | Type B,  7 | Type C,  2 | Q Total:    20 | No queue items | 
  Time:   229   | Type D,  8 | Type D,  7 | Type C,  1 | Q Total:    21 | No queue items | 
  Time:   230   | Type D,  7 | Type D,  6 | Type B,  6 | Q Total:    21 | No queue items | 
  Time:   231   | Type D,  6 | Type D,  5 | Type B,  5 | Q Total:    21 | No queue items | 
  Time:   232   | Type D,  5 | Type D,  4 | Type B,  4 | Q Total:    22 | No queue items | 
  Time:   233   | Type D,  4 | Type D,  3 | Type B,  3 | Q Total:    22 | No queue items | 
  Time:   234   | Type D,  3 | Type D,  2 | Type B,  2 | Q Total:    22 | No queue items | 
  Time:   235   | Type D,  2 | Type D,  1 | Type D,  8 | Q Total:    23 | No queue items | 
  Time:   236   | Type D,  1 | Type B,  1 | Type D,  7 | Q Total:    22 | No queue items | 
  Time:   237   | Type A,  1 | Type C,  7 | Type D,  6 | Q Total:    21 | No queue items | 
  Time:   238   | Type B,  7 | Type C,  6 | Type D,  5 | Q Total:    22 | No queue items | 
  Time:   239   | Type B,  6 | Type C,  5 | Type D,  4 | Q Total:    22 | No queue items | 
  Time:   240   | Type B,  5 | Type C,  4 | Type D,  3 | Q Total:    22 | No queue items | 
  Time:   241   | Type B,  4 | Type C,  3 | Type D,  2 | Q Total:    22 | No queue items | 
  Time:   242   | Type B,  3 | Type C,  2 | Type D,  1 | Q Total:    22 | No queue items | 
  Time:   243   | Type B,  2 | Type C,  1 | Type A,  5 | Q Total:    21 | No queue items | 
  Time:   244   | Type B,  1 | Type B,  2 | Type A,  4 | Q Total:    22 | No queue items | 
  Time:   245   | Type A,  1 | Type B,  1 | Type A,  3 | Q Total:    21 | No queue items | 
  Time:   246   | Type D, 19 | Type A,  2 | Type A,  2 | Q Total:    20 | No queue items | 
  Time:   247   | Type D, 18 | Type A,  1 | Type A,  1 | Q Total:    21 | No queue items | 
  Time:   248   | Type D, 17 | Type B,  2 | Type A,  4 | Q Total:    19 | No queue items | 
  Time:   249   | Type D, 16 | Type B,  1 | Type A,  3 | Q Total:    19 | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   250   | Type D, 15 | Type C,  6 | Type A,  2 | Q Total:    19 | No queue items | 
  Time:   251   | Type D, 14 | Type C,  5 | Type A,  1 | Q Total:    19 | No queue items | 
  Time:   252   | Type D, 13 | Type C,  4 | Type A,  4 | Q Total:    19 | No queue items | 
  Time:   253   | Type D, 12 | Type C,  3 | Type A,  3 | Q Total:    19 | No queue items | 
  Time:   254   | Type D, 11 | Type C,  2 | Type A,  2 | Q Total:    20 | No queue items | 
  Time:   255   | Type D, 10 | Type C,  1 | Type A,  1 | Q Total:    20 | No queue items | 
  Time:   256   | Type D,  9 | Type B,  6 | Type A,  5 | Q Total:    18 | No queue items | 
  Time:   257   | Type D,  8 | Type B,  5 | Type A,  4 | Q Total:    18 | No queue items | 
  Time:   258   | Type D,  7 | Type B,  4 | Type A,  3 | Q Total:    20 | No queue items | 
  Time:   259   | Type D,  6 | Type D,  4 | Type A,  2 | Q Total:    22 | No queue items | 
  Time:   260   | Type D,  5 | Type D,  3 | Type A,  1 | Q Total:    22 | No queue items | 
